Player;Care;Trust;R1;R2;R3;R4;Win;FinalScore;
Corvo;4;2;0;1;0;1;N;6;
Falco;4;4;1;0;1;0;N;2;
Aquila;4;6;0;1;1;1;Y;9;
Gheppio;4;2;0;1;1;1;Y;9;
Condor;4;5;1;1;1;1;N;7;
Gufo;4;3;0;1;1;0;Y;10;
Sparviere;4;7;0;1;1;1;Y;9;
Civetta;4;3;0;0;1;0;N;4;
Colomba;4;6;0;1;1;1;Y;9;
