Player;Care;Trust;R1;R2;R3;R4;R5;R6;R7;R8;R9;R10;R11;Win;FinalScore;
Corvo;4;4;1;0;1;1;1;1;1;0;1;1;1;N;0;
Falco;4;2;0;1;0;1;0;1;0;0;0;1;0;N;8;
Aquila;4;1;0;1;0;1;1;0;1;0;1;0;1;N;4;
Gheppio;4;4;0;1;0;0;1;1;1;0;0;0;0;Y;11;
Condor;4;0;0;0;0;0;0;0;1;1;0;1;0;Y;21;
Gufo;4;4;1;1;1;0;1;1;0;1;0;1;0;N;-1;
Sparviere;4;7;1;0;1;0;0;0;0;0;0;1;0;Y;10;
Civetta;4;4;0;1;0;0;0;1;1;1;1;0;1;Y;9;
Colomba;4;0;0;0;1;0;0;0;0;0;1;0;0;Y;17;
