Player;Care;Trust;R1;R2;R3;R4;R5;R6;R7;R8;Win;FinalScore;
Corvo;4;5;0;1;0;1;1;1;1;1;Y;17;
Falco;4;0;0;1;0;1;0;0;1;1;Y;23;
Aquila;4;4;0;0;1;0;0;1;1;1;N;6;
Gheppio;4;1;0;0;1;0;0;1;0;1;N;7;
Condor;4;4;0;0;1;1;1;1;1;1;Y;10;
Gufo;4;8;1;0;0;1;1;1;1;1;Y;10;
Sparviere;4;4;0;1;1;1;1;1;1;1;Y;12;
Civetta;4;6;0;0;0;0;1;0;1;1;Y;11;
Colomba;4;3;1;0;1;1;1;1;1;1;N;-1;
