Player;Care;Trust;R1;R2;R3;R4;R5;Win;FinalScore;
Corvo;4;6;0;1;1;1;1;Y;14;
Falco;4;3;1;0;0;0;1;N;6;
Aquila;4;8;0;1;1;1;1;Y;10;
Gheppio;4;1;1;0;0;1;1;N;4;
Condor;4;4;0;0;0;1;1;Y;13;
Gufo;4;7;1;0;0;0;1;N;6;
Sparviere;4;8;1;0;0;1;1;Y;11;
Civetta;4;6;0;1;1;1;1;Y;14;
Colomba;4;2;0;1;1;1;1;Y;10;
