Player;Care;Trust;R1;R2;R3;R4;Win;FinalScore;
Corvo;4;1;0;1;1;1;N;8;
Falco;4;5;1;1;0;1;Y;12;
Aquila;4;4;0;0;1;0;Y;14;
Gheppio;4;6;1;0;1;1;N;8;
Condor;4;7;1;1;1;1;N;3;
Gufo;4;8;0;1;1;1;Y;9;
Sparviere;4;7;1;1;0;1;N;8;
Civetta;4;8;0;1;1;1;Y;9;
Colomba;4;3;0;1;1;1;Y;9;
