Player;Care;Trust;R1;R2;R3;R4;R5;R6;R7;Win;FinalScore;
Corvo;4;3;0;0;0;1;1;0;1;Y;18;
Falco;4;4;0;0;1;1;0;1;1;Y;13;
Aquila;4;8;1;1;1;0;0;0;1;Y;9;
Gheppio;4;4;1;0;1;1;0;1;1;Y;12;
Condor;4;6;0;0;0;0;0;1;1;Y;13;
Gufo;4;1;1;0;0;1;1;1;0;N;2;
Sparviere;4;6;0;1;1;0;1;1;1;N;-1;
Civetta;4;3;1;0;0;1;1;1;0;N;6;
Colomba;4;6;1;0;1;1;1;0;0;N;6;
