Player;Care;Trust;R1;R2;R3;Win;FinalScore;
Corvo;4;0;0;0;1;Y;11;
Falco;4;5;0;1;1;N;6;
Aquila;4;5;1;0;0;N;7;
Gheppio;4;0;1;1;1;Y;9;
Condor;4;7;1;1;1;N;5;
Gufo;4;8;0;1;1;Y;10;
Sparviere;4;3;1;1;1;N;5;
Civetta;4;4;0;1;0;Y;11;
Colomba;4;8;1;1;1;Y;9;
