Player;Care;Trust;R1;R2;R3;R4;R5;R6;R7;Win;FinalScore;
Corvo;4;6;0;0;1;1;1;1;1;N;7;
Falco;4;7;0;0;0;1;0;1;1;Y;15;
Aquila;4;2;1;0;0;0;1;0;1;N;7;
Gheppio;4;4;1;1;0;1;0;1;1;N;8;
Condor;4;7;0;1;0;0;1;1;1;Y;10;
Gufo;4;1;1;1;1;1;0;1;1;Y;10;
Sparviere;4;2;0;0;0;0;0;1;1;Y;16;
Civetta;4;2;0;1;0;0;1;1;1;Y;16;
Colomba;4;1;1;0;1;1;0;1;1;Y;11;
