Player;Care;Trust;R1;R2;R3;R4;R5;R6;Win;FinalScore;
Corvo;4;6;0;1;0;0;0;1;Y;15;
Falco;4;0;1;1;1;1;1;1;N;-1;
Aquila;4;2;1;0;1;0;1;1;Y;10;
Gheppio;4;0;0;0;0;1;1;0;Y;12;
Condor;4;8;1;0;0;1;1;1;Y;9;
Gufo;4;7;0;0;1;1;0;1;Y;11;
Sparviere;4;0;1;0;0;1;0;1;Y;15;
Civetta;4;8;0;1;0;1;1;1;N;6;
Colomba;4;8;1;0;1;1;1;1;N;5;
