Player;Care;Trust;R1;R2;R3;R4;R5;Win;FinalScore;
Corvo;4;8;1;0;0;1;1;Y;11;
Falco;4;3;0;1;1;0;1;N;5;
Aquila;4;6;0;1;1;0;1;Y;9;
Gheppio;4;1;0;1;0;1;1;N;8;
Condor;4;3;0;0;1;1;1;Y;12;
Gufo;4;5;0;1;1;1;1;N;7;
Sparviere;4;4;0;0;1;1;1;Y;15;
Civetta;4;8;0;0;0;1;1;Y;16;
Colomba;4;0;0;1;0;0;1;N;6;
