Player;Care;Trust;R1;R2;R3;R4;R5;R6;R7;R8;Win;FinalScore;
Corvo;4;2;1;0;0;0;1;1;0;1;Y;13;
Falco;4;5;1;1;1;1;1;0;1;1;Y;9;
Aquila;4;3;1;0;1;1;0;0;1;1;N;8;
Gheppio;4;5;0;0;0;1;0;1;1;1;Y;17;
Condor;4;0;1;0;0;0;0;0;1;1;Y;10;
Gufo;4;2;1;1;1;1;1;0;0;1;N;6;
Sparviere;4;8;1;0;0;0;0;1;1;1;Y;13;
Civetta;4;6;1;0;0;1;1;0;1;0;N;5;
Colomba;4;6;1;1;1;1;1;0;1;1;N;5;
