Player;Care;Trust;R1;R2;R3;R4;R5;R6;Win;FinalScore;
Corvo;4;2;0;0;1;1;0;1;Y;14;
Falco;4;7;0;0;0;1;1;1;Y;14;
Aquila;4;2;0;1;1;0;1;1;Y;10;
Gheppio;4;0;1;1;1;1;1;1;N;-1;
Condor;4;5;1;0;1;1;0;1;Y;9;
Gufo;4;1;1;1;1;0;0;1;N;6;
Sparviere;4;3;0;1;1;0;1;1;N;5;
Civetta;4;6;0;0;0;1;0;1;Y;19;
Colomba;4;2;1;1;1;0;0;1;N;6;
