Player;Care;Trust;R1;R2;R3;R4;R5;R6;Win;FinalScore;
Corvo;4;8;1;1;0;1;1;1;Y;9;
Falco;4;2;0;1;1;1;1;1;N;5;
Aquila;4;6;1;1;0;1;1;1;N;-1;
Gheppio;4;3;0;1;1;1;0;0;Y;14;
Condor;4;1;0;1;0;1;0;1;Y;11;
Gufo;4;5;0;1;0;1;1;1;Y;14;
Sparviere;4;4;0;1;0;1;1;1;Y;10;
Civetta;4;0;0;0;1;1;1;0;Y;15;
Colomba;4;6;1;0;1;1;1;1;N;8;
