Player;Care;Trust;R1;R2;R3;R4;R5;R6;R7;R8;R9;Win;FinalScore;
Corvo;4;5;0;1;0;1;1;1;1;1;1;Y;11;
Falco;4;7;0;0;0;1;1;1;1;0;1;Y;18;
Aquila;4;4;1;0;0;0;0;1;0;1;1;N;1;
Gheppio;4;0;0;0;0;1;0;0;0;0;0;Y;23;
Condor;4;4;0;1;1;1;0;1;0;1;1;N;-1;
Gufo;4;2;1;1;1;1;1;1;1;1;0;N;-1;
Sparviere;4;8;0;0;1;0;0;0;0;1;1;Y;10;
Civetta;4;7;0;1;0;0;0;1;1;1;1;N;7;
Colomba;4;7;1;0;1;1;1;0;1;1;1;Y;11;
