Player;Care;Trust;R1;R2;R3;R4;R5;R6;R7;R8;R9;Win;FinalScore;
Corvo;4;4;0;1;0;1;0;1;1;1;1;Y;17;
Falco;4;1;0;0;1;0;0;1;1;1;1;Y;15;
Aquila;4;3;1;0;1;0;0;0;1;0;1;N;8;
Gheppio;4;2;0;0;1;0;0;1;1;1;1;Y;15;
Condor;4;2;1;0;0;1;1;1;0;1;1;Y;9;
Gufo;4;5;0;1;1;0;1;1;1;1;1;N;0;
Sparviere;4;6;1;0;0;0;1;0;1;1;1;N;7;
Civetta;4;0;1;0;1;1;1;1;1;1;1;N;-1;
Colomba;4;5;0;1;0;0;0;1;1;1;1;Y;12;
