Player;Care;Trust;R1;R2;R3;R4;R5;R6;R7;R8;Win;FinalScore;
Corvo;4;6;1;0;1;0;0;1;1;1;N;7;
Falco;4;2;0;0;0;1;1;1;1;1;N;4;
Aquila;4;1;0;1;1;1;1;1;1;1;N;0;
Gheppio;4;6;0;1;0;1;0;1;1;1;Y;11;
Condor;4;2;0;1;0;1;1;1;1;1;Y;13;
Gufo;4;0;0;0;1;0;1;0;0;0;Y;21;
Sparviere;4;8;0;1;0;0;1;1;1;1;N;8;
Civetta;4;2;1;0;0;0;1;1;1;1;Y;11;
Colomba;4;2;0;0;1;1;0;1;1;0;Y;9;
