Player;Care;Trust;R1;R2;R3;R4;R5;R6;R7;R8;R9;R10;Win;FinalScore;
Corvo;4;6;1;0;0;0;1;1;1;1;1;1;Y;15;
Falco;4;0;1;0;1;0;1;0;1;1;1;1;N;0;
Aquila;4;2;0;1;1;0;0;1;1;1;1;1;Y;12;
Gheppio;4;8;0;0;1;0;1;0;0;1;1;1;Y;10;
Condor;4;6;1;1;1;1;0;1;1;1;1;1;N;-1;
Gufo;4;6;0;1;0;0;0;1;1;1;0;1;N;7;
Sparviere;4;8;0;1;1;0;1;1;1;1;1;1;Y;14;
Civetta;4;5;1;1;1;0;1;1;1;1;1;1;N;-1;
Colomba;4;0;0;0;1;0;0;1;0;0;1;1;Y;26;
