Player;Care;Trust;R1;R2;R3;R4;R5;R6;R7;R8;R9;R10;Win;FinalScore;
Corvo;4;4;1;0;0;1;0;0;1;0;1;1;N;0;
Falco;4;0;0;0;0;0;1;1;1;1;1;1;Y;10;
Aquila;4;0;0;0;0;0;1;1;1;1;1;0;Y;14;
Gheppio;4;8;0;1;1;0;0;0;0;1;1;1;Y;10;
Condor;4;5;1;0;0;0;0;0;0;0;1;1;N;8;
Gufo;4;2;0;1;1;0;0;1;1;1;1;1;Y;14;
Sparviere;4;3;1;0;0;0;1;0;0;0;1;1;Y;9;
Civetta;4;0;0;0;0;0;0;0;0;0;1;1;Y;18;
Colomba;4;5;0;0;1;1;0;0;0;1;1;1;N;0;
