Player;Care;Trust;R1;R2;R3;R4;Win;FinalScore;
Corvo;4;2;1;0;1;1;N;-1;
Falco;4;2;0;1;1;0;Y;9;
Aquila;4;5;0;1;1;1;Y;12;
Gheppio;4;5;0;0;0;1;Y;11;
Condor;4;8;1;1;1;1;N;3;
Gufo;4;0;1;0;0;0;Y;14;
Sparviere;4;7;0;0;0;1;N;4;
Civetta;4;2;0;1;1;1;Y;9;
Colomba;4;5;1;0;1;1;Y;9;
