Player;Care;Trust;R1;R2;R3;Win;FinalScore;
Corvo;4;2;1;0;1;Y;10;
Falco;4;7;0;0;0;Y;9;
Aquila;4;0;0;0;0;Y;9;
Gheppio;4;6;1;1;0;N;6;
Condor;4;5;0;1;1;Y;10;
Gufo;4;6;1;0;0;N;4;
Sparviere;4;8;1;1;1;N;1;
Civetta;4;0;0;1;1;Y;10;
Colomba;4;6;1;1;0;N;6;
