Player;Care;Trust;R1;R2;R3;R4;R5;R6;R7;R8;Win;FinalScore;
Corvo;4;2;0;1;1;1;1;1;1;1;Y;12;
Falco;4;5;0;1;1;1;1;0;0;1;Y;11;
Aquila;4;6;1;0;0;1;1;1;1;1;N;7;
Gheppio;4;2;0;0;1;1;1;0;0;0;N;4;
Condor;4;0;0;1;0;1;0;0;1;0;Y;11;
Gufo;4;3;1;0;1;1;1;1;1;1;Y;16;
Sparviere;4;1;0;0;0;1;1;0;1;1;N;7;
Civetta;4;1;0;1;1;1;0;1;1;1;Y;10;
Colomba;4;8;0;1;0;0;1;1;1;0;N;6;
