Player;Care;Trust;R1;R2;R3;Win;FinalScore;
Corvo;4;7;0;1;0;Y;11;
Falco;4;7;1;1;1;N;5;
Aquila;4;8;1;1;0;Y;10;
Gheppio;4;4;1;1;1;N;1;
Condor;4;4;0;1;1;Y;10;
Gufo;4;7;0;1;1;N;6;
Sparviere;4;3;1;1;1;N;1;
Civetta;4;4;1;1;0;Y;10;
Colomba;4;3;0;0;0;Y;12;
