Player;Care;Trust;R1;R2;R3;R4;Win;FinalScore;
Corvo;4;2;0;0;1;1;Y;10;
Falco;4;4;0;0;1;0;N;7;
Aquila;4;8;1;0;0;1;Y;9;
Gheppio;4;4;1;0;0;1;N;2;
Condor;4;0;1;0;1;1;N;4;
Gufo;4;1;0;1;0;1;Y;9;
Sparviere;4;0;0;1;1;1;N;8;
Civetta;4;0;1;0;0;1;Y;9;
Colomba;4;8;0;0;1;1;Y;9;
