Player;Care;Trust;R1;R2;R3;R4;Win;FinalScore;
Corvo;4;2;1;0;1;1;N;4;
Falco;4;4;1;0;1;0;N;2;
Aquila;4;5;1;1;1;1;N;-1;
Gheppio;4;4;1;0;1;0;N;2;
Condor;4;6;0;1;0;1;Y;9;
Gufo;4;4;0;1;0;1;Y;9;
Sparviere;4;1;0;0;0;0;Y;12;
Civetta;4;2;0;1;0;1;Y;9;
Colomba;4;8;0;0;1;1;Y;9;
