Player;Care;Trust;R1;R2;R3;R4;R5;R6;Win;FinalScore;
Corvo;4;5;0;1;1;1;0;1;Y;17;
Falco;4;6;0;1;1;1;1;1;N;8;
Aquila;4;6;1;0;0;1;0;1;N;3;
Gheppio;4;8;0;0;1;1;1;0;N;7;
Condor;4;3;0;1;1;0;1;1;Y;13;
Gufo;4;3;1;0;0;0;0;1;Y;12;
Sparviere;4;4;1;1;1;1;1;0;N;8;
Civetta;4;5;0;1;1;0;1;1;Y;17;
Colomba;4;3;0;1;1;1;0;1;Y;9;
