Player;Care;Trust;R1;R2;R3;R4;R5;R6;R7;R8;Win;FinalScore;
Corvo;4;4;0;1;1;1;1;1;1;1;Y;16;
Falco;4;0;0;0;1;0;1;1;0;1;Y;9;
Aquila;4;1;1;1;1;0;1;1;1;1;N;-1;
Gheppio;4;2;1;0;1;0;0;1;1;1;Y;11;
Condor;4;5;0;1;0;0;1;0;1;1;Y;9;
Gufo;4;5;0;0;1;1;1;1;1;1;Y;18;
Sparviere;4;4;0;0;1;1;1;1;1;1;Y;9;
Civetta;4;2;0;1;1;0;0;1;1;1;Y;11;
Colomba;4;8;0;1;1;0;1;1;1;1;Y;10;
