Player;Care;Trust;R1;R2;R3;R4;R5;Win;FinalScore;
Corvo;4;1;1;0;0;1;1;N;8;
Falco;4;6;1;0;1;0;1;N;8;
Aquila;4;2;1;1;1;1;1;Y;9;
Gheppio;4;1;0;1;1;1;1;N;6;
Condor;4;6;0;1;0;1;1;Y;15;
Gufo;4;3;1;1;1;1;1;Y;9;
Sparviere;4;5;1;0;1;1;1;Y;10;
Civetta;4;6;0;0;0;1;1;Y;13;
Colomba;4;6;1;1;0;1;1;N;-1;
