Player;Care;Trust;R1;R2;R3;Win;FinalScore;
Corvo;4;3;0;1;1;Y;10;
Falco;4;1;1;1;1;N;5;
Aquila;4;5;1;0;0;N;7;
Gheppio;4;5;1;1;1;N;-1;
Condor;4;8;0;1;0;Y;11;
Gufo;4;5;0;1;1;Y;10;
Sparviere;4;1;0;1;1;Y;10;
Civetta;4;4;0;1;1;N;6;
Colomba;4;1;0;1;1;Y;10;
