Player;Care;Trust;R1;R2;R3;R4;R5;R6;R7;R8;R9;R10;R11;R12;Win;FinalScore;
Corvo;4;8;1;0;0;0;0;1;1;0;1;1;1;1;N;7;
Falco;4;4;1;0;0;0;0;0;1;0;1;1;1;1;Y;9;
Aquila;4;4;1;0;0;0;0;1;1;0;1;1;0;1;Y;9;
Gheppio;4;3;0;0;0;0;1;0;1;1;0;1;1;1;Y;10;
Condor;4;3;1;0;0;0;1;0;1;0;0;1;1;1;Y;9;
Gufo;4;3;0;1;0;0;1;0;1;1;0;1;1;1;N;3;
Sparviere;4;1;0;0;1;0;0;1;0;1;1;0;1;1;N;8;
Civetta;4;4;0;0;1;0;1;1;1;1;0;1;0;1;Y;10;
Colomba;4;0;0;0;0;0;1;1;1;0;0;1;0;1;Y;24;
