Player;Care;Trust;R1;R2;R3;R4;R5;R6;R7;R8;R9;Win;FinalScore;
Corvo;4;0;1;0;0;0;0;0;1;0;0;N;8;
Falco;4;6;0;1;1;1;0;0;0;0;1;Y;9;
Aquila;4;7;1;0;0;1;0;0;1;1;1;N;6;
Gheppio;4;8;1;0;0;1;1;0;0;0;0;N;7;
Condor;4;0;1;1;1;1;0;0;0;1;0;Y;14;
Gufo;4;0;0;1;0;0;0;0;1;1;0;Y;16;
Sparviere;4;5;0;0;0;1;0;0;0;1;1;Y;11;
Civetta;4;3;1;1;1;1;0;0;1;1;1;N;-1;
Colomba;4;3;0;1;1;1;1;0;0;1;1;Y;9;
