Player;Care;Trust;R1;R2;R3;Win;FinalScore;
Corvo;4;5;1;1;0;Y;10;
Falco;4;4;1;1;1;N;5;
Aquila;4;0;1;1;1;N;1;
Gheppio;4;2;1;1;0;Y;10;
Condor;4;5;1;1;1;N;5;
Gufo;4;6;0;1;0;Y;11;
Sparviere;4;7;0;1;1;Y;10;
Civetta;4;8;1;1;1;N;5;
Colomba;4;7;0;1;0;Y;11;
