Player;Care;Trust;R1;R2;R3;R4;Win;FinalScore;
Corvo;4;6;1;0;1;1;Y;9;
Falco;4;3;0;1;1;1;Y;12;
Aquila;4;8;0;1;1;0;Y;10;
Gheppio;4;4;0;0;1;1;Y;10;
Condor;4;0;0;0;1;0;N;8;
Gufo;4;8;1;0;0;1;N;3;
Sparviere;4;6;1;0;1;1;N;4;
Civetta;4;1;1;1;0;0;N;6;
Colomba;4;0;0;1;0;0;Y;11;
