Player;Care;Trust;R1;R2;R3;R4;Win;FinalScore;
Corvo;4;8;0;0;1;1;Y;10;
Falco;4;2;0;0;1;1;N;6;
Aquila;4;4;1;1;1;1;N;7;
Gheppio;4;7;1;0;1;1;Y;12;
Condor;4;2;0;0;1;1;Y;10;
Gufo;4;2;1;1;0;1;N;8;
Sparviere;4;8;1;1;1;1;N;7;
Civetta;4;6;1;0;0;1;Y;13;
Colomba;4;6;1;0;1;1;Y;12;
