Player;Care;Trust;R1;R2;R3;R4;R5;R6;R7;R8;R9;Win;FinalScore;
Corvo;4;5;0;1;1;0;1;0;0;1;0;Y;12;
Falco;4;4;0;1;1;0;0;1;1;1;1;Y;13;
Aquila;4;2;1;0;0;0;0;1;1;0;1;Y;10;
Gheppio;4;8;1;0;0;1;1;1;1;1;1;N;0;
Condor;4;6;1;0;0;0;1;0;1;1;1;N;8;
Gufo;4;0;0;0;0;0;0;1;0;1;0;Y;19;
Sparviere;4;1;1;0;0;0;1;1;0;1;1;Y;11;
Civetta;4;8;1;1;1;0;0;0;1;1;1;N;-1;
Colomba;4;5;0;0;0;1;1;1;1;1;1;Y;10;
