Player;Care;Trust;R1;R2;R3;R4;R5;R6;R7;R8;R9;R10;R11;Win;FinalScore;
Corvo;4;5;0;0;1;1;1;1;0;0;0;1;1;Y;18;
Falco;4;7;0;0;0;1;1;1;1;0;1;0;1;N;8;
Aquila;4;6;1;0;0;0;1;0;1;1;1;0;1;Y;9;
Gheppio;4;2;0;1;0;0;1;0;1;0;0;1;1;Y;11;
Condor;4;4;1;0;0;0;0;0;0;1;0;0;1;Y;17;
Gufo;4;1;0;1;0;0;1;0;1;0;1;0;1;N;8;
Sparviere;4;4;0;1;0;0;0;0;1;1;1;1;1;N;-1;
Civetta;4;6;0;0;0;1;0;0;0;0;1;1;1;Y;9;
Colomba;4;1;0;0;0;1;1;0;1;1;0;1;1;Y;12;
