Player;Care;Trust;R1;R2;R3;R4;R5;R6;R7;Win;FinalScore;
Corvo;4;1;0;1;1;0;1;1;1;Y;15;
Falco;4;7;1;0;1;1;0;1;1;N;4;
Aquila;4;4;0;1;1;1;0;1;0;N;5;
Gheppio;4;8;0;0;0;1;0;1;1;Y;11;
Condor;4;5;1;1;1;1;0;1;1;N;-1;
Gufo;4;3;0;1;0;0;1;1;0;Y;10;
Sparviere;4;5;0;1;1;0;1;0;1;Y;9;
Civetta;4;7;0;0;0;1;1;1;1;Y;13;
Colomba;4;6;0;0;1;1;0;1;1;Y;10;
