Player;Care;Trust;R1;R2;R3;Win;FinalScore;
Corvo;4;0;0;1;0;N;7;
Falco;4;1;0;1;1;Y;10;
Aquila;4;5;1;0;1;Y;10;
Gheppio;4;6;1;1;1;N;-1;
Condor;4;6;0;0;1;Y;11;
Gufo;4;2;1;0;1;N;2;
Sparviere;4;4;1;1;1;Y;9;
Civetta;4;8;0;1;0;N;7;
Colomba;4;0;1;1;1;Y;9;
