Player;Care;Trust;R1;R2;R3;R4;R5;Win;FinalScore;
Corvo;4;0;0;0;1;1;1;Y;9;
Falco;4;3;1;0;0;1;1;Y;11;
Aquila;4;3;0;0;1;1;1;N;5;
Gheppio;4;7;0;1;1;1;1;Y;10;
Condor;4;8;0;0;1;0;1;Y;10;
Gufo;4;3;0;0;1;0;1;Y;13;
Sparviere;4;0;0;0;1;1;0;N;6;
Civetta;4;4;0;1;0;1;0;N;5;
Colomba;4;0;0;0;1;1;1;Y;9;
