Player;Care;Trust;R1;R2;R3;R4;Win;FinalScore;
Corvo;4;1;1;1;0;1;N;8;
Falco;4;4;1;0;0;1;Y;10;
Aquila;4;6;1;0;1;1;N;8;
Gheppio;4;8;1;0;1;1;Y;9;
Condor;4;0;0;1;0;1;Y;9;
Gufo;4;3;1;0;1;1;Y;12;
Sparviere;4;5;0;1;0;1;Y;9;
Civetta;4;2;1;0;1;1;Y;12;
Colomba;4;0;1;0;1;1;N;-1;
