Player;Care;Trust;R1;R2;R3;R4;R5;Win;FinalScore;
Corvo;4;3;1;1;0;1;1;Y;10;
Falco;4;0;0;1;0;1;0;Y;13;
Aquila;4;4;1;1;0;1;1;Y;10;
Gheppio;4;1;0;1;1;1;1;Y;14;
Condor;4;1;0;1;1;1;1;Y;11;
Gufo;4;7;0;1;1;1;1;N;7;
Sparviere;4;2;0;1;1;1;1;N;6;
Civetta;4;3;0;1;1;1;1;N;6;
Colomba;4;7;0;1;1;1;1;Y;14;
