Player;Care;Trust;R1;R2;R3;R4;R5;R6;R7;R8;R9;Win;FinalScore;
Corvo;4;0;0;0;1;0;0;1;0;1;0;Y;18;
Falco;4;8;1;0;0;1;0;1;1;0;1;Y;10;
Aquila;4;7;1;1;1;1;0;1;1;1;1;N;7;
Gheppio;4;4;1;1;1;1;0;1;1;1;1;Y;14;
Condor;4;0;1;1;0;1;0;1;0;1;1;Y;10;
Gufo;4;5;0;1;1;0;1;0;1;1;1;Y;12;
Sparviere;4;7;0;1;1;0;1;1;0;1;1;N;8;
Civetta;4;3;1;0;1;1;1;0;0;1;1;Y;9;
Colomba;4;6;1;0;1;1;0;1;1;1;0;N;5;
