Player;Care;Trust;R1;R2;R3;R4;R5;R6;R7;R8;R9;Win;FinalScore;
Corvo;4;1;1;0;0;0;1;0;0;1;1;N;0;
Falco;4;7;1;0;0;0;0;1;1;1;1;N;8;
Aquila;4;8;0;0;1;0;0;1;1;1;1;N;7;
Gheppio;4;0;0;1;0;1;0;1;1;0;1;Y;17;
Condor;4;5;0;1;1;0;0;1;1;1;1;Y;13;
Gufo;4;7;1;1;0;0;1;0;1;1;1;Y;10;
Sparviere;4;4;0;1;0;0;1;0;0;0;1;Y;11;
Civetta;4;3;1;1;1;0;0;0;0;1;1;N;7;
Colomba;4;7;0;1;0;1;1;1;0;1;1;Y;12;
