Player;Care;Trust;R1;R2;R3;R4;R5;R6;Win;FinalScore;
Corvo;4;8;0;1;1;1;1;0;N;2;
Falco;4;3;0;1;1;1;1;1;Y;9;
Aquila;4;1;0;1;1;1;1;1;Y;13;
Gheppio;4;7;0;0;1;1;0;1;Y;11;
Condor;4;0;0;0;1;0;1;0;Y;9;
Gufo;4;7;1;0;1;1;1;1;Y;12;
Sparviere;4;0;0;0;0;0;1;1;Y;10;
Civetta;4;1;1;1;0;0;0;1;N;8;
Colomba;4;2;1;0;0;0;0;0;N;4;
