Player;Care;Trust;R1;R2;R3;R4;R5;Win;FinalScore;
Corvo;4;4;1;0;1;0;1;Y;12;
Falco;4;7;1;0;1;1;0;Y;11;
Aquila;4;7;1;0;1;0;0;Y;9;
Gheppio;4;3;1;0;0;0;1;N;6;
Condor;4;3;1;1;0;0;1;N;8;
Gufo;4;6;0;1;0;1;1;N;8;
Sparviere;4;8;1;0;1;0;1;Y;15;
Civetta;4;0;1;1;1;1;1;N;5;
Colomba;4;6;1;1;1;1;1;Y;9;
