Player;Care;Trust;R1;R2;R3;R4;R5;R6;R7;Win;FinalScore;
Corvo;4;6;0;0;0;1;1;1;0;N;4;
Falco;4;5;1;0;0;0;1;1;1;N;-1;
Aquila;4;0;0;1;0;1;1;0;1;Y;14;
Gheppio;4;2;0;0;1;0;0;0;0;N;4;
Condor;4;6;0;0;0;0;0;1;1;Y;13;
Gufo;4;8;0;0;1;1;1;0;1;Y;9;
Sparviere;4;1;0;1;0;1;1;0;1;Y;11;
Civetta;4;4;0;0;1;1;1;1;0;N;2;
Colomba;4;6;0;1;0;1;1;1;1;Y;13;
