Player;Care;Trust;R1;R2;R3;R4;R5;R6;R7;R8;Win;FinalScore;
Corvo;4;4;1;0;0;0;1;0;1;1;Y;12;
Falco;4;1;0;0;1;1;1;1;0;1;N;6;
Aquila;4;5;0;1;0;1;0;0;1;1;N;8;
Gheppio;4;0;1;0;1;0;0;1;1;1;N;2;
Condor;4;0;0;0;0;0;0;0;1;0;Y;19;
Gufo;4;2;0;1;1;0;1;1;1;1;Y;9;
Sparviere;4;2;0;0;0;1;1;1;1;1;Y;14;
Civetta;4;7;0;1;0;1;1;1;1;1;Y;9;
Colomba;4;7;1;0;0;1;1;1;0;1;Y;10;
