Player;Care;Trust;R1;R2;R3;R4;R5;R6;R7;R8;R9;R10;Win;FinalScore;
Corvo;4;4;1;0;0;1;1;0;1;1;1;1;Y;11;
Falco;4;6;0;0;0;1;1;1;0;1;1;1;Y;21;
Aquila;4;8;1;0;0;1;1;0;1;0;1;1;Y;9;
Gheppio;4;3;1;1;0;1;1;1;0;1;1;1;N;7;
Condor;4;0;0;0;0;0;0;1;0;1;1;1;Y;25;
Gufo;4;5;1;1;1;0;0;1;1;1;1;1;Y;10;
Sparviere;4;7;0;0;0;1;1;1;1;1;1;1;Y;10;
Civetta;4;7;1;0;1;0;1;1;0;0;1;1;Y;9;
Colomba;4;5;0;1;0;0;1;1;0;1;1;1;Y;13;
