Player;Care;Trust;R1;R2;R3;R4;R5;R6;R7;R8;R9;R10;Win;FinalScore;
Corvo;4;6;0;1;0;1;0;1;1;1;0;1;Y;13;
Falco;4;3;0;0;0;1;1;1;0;1;1;1;N;3;
Aquila;4;2;0;0;0;0;0;1;0;1;1;1;Y;10;
Gheppio;4;3;1;0;0;0;0;0;0;0;0;1;Y;12;
Condor;4;8;1;0;1;0;0;1;1;0;0;1;Y;10;
Gufo;4;7;0;1;0;1;1;0;1;0;1;1;Y;17;
Sparviere;4;0;0;0;0;0;1;0;1;1;0;0;N;7;
Civetta;4;4;0;0;1;0;1;0;1;1;1;1;Y;9;
Colomba;4;0;0;1;0;0;0;0;0;1;1;1;Y;12;
