Player;Care;Trust;R1;R2;R3;R4;R5;Win;FinalScore;
Corvo;4;6;0;0;1;0;1;Y;12;
Falco;4;1;1;0;1;0;1;Y;11;
Aquila;4;0;0;0;1;0;1;Y;10;
Gheppio;4;0;0;1;0;0;0;N;7;
Condor;4;2;0;0;1;0;1;Y;13;
Gufo;4;4;1;0;1;0;1;N;8;
Sparviere;4;5;1;1;1;1;1;N;-1;
Civetta;4;0;1;1;1;1;1;N;-1;
Colomba;4;1;0;1;1;0;0;Y;12;
