Player;Care;Trust;R1;R2;R3;Win;FinalScore;
Corvo;4;8;0;0;0;Y;12;
Falco;4;4;0;0;1;Y;11;
Aquila;4;3;0;1;0;N;7;
Gheppio;4;2;1;0;1;N;2;
Condor;4;5;1;0;1;Y;10;
Gufo;4;6;1;0;1;Y;10;
Sparviere;4;6;1;1;1;N;-1;
Civetta;4;0;1;1;0;N;-1;
Colomba;4;4;1;0;0;Y;11;
