Player;Care;Trust;R1;R2;R3;R4;Win;FinalScore;
Corvo;4;4;0;1;1;1;N;-1;
Falco;4;1;0;1;1;1;Y;9;
Aquila;4;0;1;1;1;1;N;-1;
Gheppio;4;7;0;1;1;1;Y;9;
Condor;4;2;0;0;1;1;Y;10;
Gufo;4;8;0;1;0;1;Y;13;
Sparviere;4;4;0;1;1;1;Y;9;
Civetta;4;2;0;1;1;1;Y;12;
Colomba;4;8;0;1;1;1;Y;9;
