Player;Care;Trust;R1;R2;R3;R4;Win;FinalScore;
Corvo;4;3;0;0;1;0;Y;11;
Falco;4;0;1;0;1;0;Y;10;
Aquila;4;6;0;1;1;1;Y;12;
Gheppio;4;3;1;1;1;1;N;3;
Condor;4;6;1;1;1;0;Y;12;
Gufo;4;5;1;1;1;1;N;7;
Sparviere;4;7;0;1;1;0;Y;10;
Civetta;4;3;0;0;1;1;N;7;
Colomba;4;4;0;1;1;1;Y;9;
