Player;Care;Trust;R1;R2;R3;R4;R5;R6;R7;R8;R9;R10;R11;R12;Win;FinalScore;
Corvo;4;6;0;1;0;1;1;1;1;1;1;0;1;1;N;0;
Falco;4;6;1;0;0;0;1;0;1;0;1;1;1;1;N;6;
Aquila;4;8;1;0;0;0;1;0;1;1;1;1;1;0;Y;10;
Gheppio;4;1;0;0;1;0;1;0;1;1;1;1;1;1;Y;20;
Condor;4;7;1;0;0;1;0;0;0;1;1;1;1;1;Y;18;
Gufo;4;8;0;0;1;1;1;1;1;0;1;1;1;1;N;-1;
Sparviere;4;8;0;0;1;1;0;0;1;1;1;1;1;1;Y;16;
Civetta;4;7;0;1;0;1;1;1;1;1;1;1;1;1;N;0;
Colomba;4;0;0;0;0;0;0;0;1;1;0;0;1;0;Y;27;
