Player;Care;Trust;R1;R2;R3;R4;R5;R6;Win;FinalScore;
Corvo;4;5;0;1;0;1;1;1;Y;9;
Falco;4;7;1;0;1;1;1;0;N;5;
Aquila;4;3;0;1;1;0;0;1;N;7;
Gheppio;4;2;1;1;1;0;0;1;N;6;
Condor;4;5;0;0;1;1;1;1;Y;9;
Gufo;4;3;0;1;1;0;0;1;Y;15;
Sparviere;4;0;0;1;0;0;1;0;Y;15;
Civetta;4;7;1;0;1;1;0;1;Y;9;
Colomba;4;8;1;0;1;1;0;1;N;5;
