Player;Care;Trust;R1;R2;R3;R4;Win;FinalScore;
Corvo;4;3;1;0;1;1;N;8;
Falco;4;0;1;0;0;0;Y;14;
Aquila;4;2;1;0;1;0;N;5;
Gheppio;4;3;0;1;0;1;Y;9;
Condor;4;2;0;0;0;1;Y;10;
Gufo;4;6;1;1;1;1;N;-1;
Sparviere;4;4;1;1;1;1;N;-1;
Civetta;4;8;0;1;0;1;Y;9;
Colomba;4;0;1;1;0;0;Y;9;
