Player;Care;Trust;R1;R2;R3;Win;FinalScore;
Corvo;4;2;0;1;1;Y;10;
Falco;4;3;0;0;1;Y;11;
Aquila;4;5;1;0;1;N;6;
Gheppio;4;5;1;0;1;N;6;
Condor;4;0;0;1;1;Y;10;
Gufo;4;2;1;1;1;N;-1;
Sparviere;4;8;0;1;1;N;6;
Civetta;4;3;0;0;1;Y;11;
Colomba;4;7;0;1;1;Y;10;
