Player;Care;Trust;R1;R2;R3;Win;FinalScore;
Corvo;4;8;1;1;1;Y;9;
Falco;4;6;1;1;1;Y;9;
Aquila;4;8;0;1;1;Y;10;
Gheppio;4;1;1;0;0;N;8;
Condor;4;6;1;1;1;N;5;
Gufo;4;7;1;1;0;Y;10;
Sparviere;4;2;1;0;1;N;7;
Civetta;4;7;1;0;1;N;3;
Colomba;4;8;0;1;1;Y;10;
