Player;Care;Trust;R1;R2;R3;R4;R5;R6;R7;R8;Win;FinalScore;
Corvo;4;0;0;0;1;0;1;1;1;1;Y;14;
Falco;4;2;1;0;1;1;1;0;1;1;Y;10;
Aquila;4;8;0;1;0;1;0;0;0;1;Y;10;
Gheppio;4;2;1;1;1;1;1;1;1;1;N;3;
Condor;4;7;0;1;1;1;0;1;1;1;N;0;
Gufo;4;6;0;0;1;1;0;1;1;1;Y;15;
Sparviere;4;1;1;0;1;1;0;1;0;1;Y;14;
Civetta;4;8;1;1;0;0;0;1;1;0;Y;15;
Colomba;4;7;0;0;1;0;1;0;1;0;N;6;
