Player;Care;Trust;R1;R2;R3;R4;R5;R6;R7;R8;R9;Win;FinalScore;
Corvo;4;6;1;0;0;1;0;1;1;1;1;Y;9;
Falco;4;8;0;1;0;0;1;0;0;1;1;N;8;
Aquila;4;4;0;1;0;1;1;1;1;0;1;Y;9;
Gheppio;4;5;0;1;1;1;1;1;0;1;1;Y;11;
Condor;4;3;0;1;1;1;1;1;1;1;1;Y;10;
Gufo;4;8;1;0;0;1;0;1;1;1;1;N;-1;
Sparviere;4;1;0;1;0;1;0;1;1;1;1;Y;9;
Civetta;4;0;0;0;1;0;1;0;0;1;1;Y;22;
Colomba;4;1;1;0;0;0;1;1;1;1;1;Y;10;
