Player;Care;Trust;R1;R2;R3;R4;R5;R6;Win;FinalScore;
Corvo;4;0;0;1;1;1;1;1;N;0;
Falco;4;7;1;0;0;1;1;0;N;7;
Aquila;4;5;0;0;1;1;0;0;Y;11;
Gheppio;4;7;1;0;0;1;1;1;Y;10;
Condor;4;3;0;1;0;1;1;0;Y;18;
Gufo;4;6;0;0;1;0;1;1;N;7;
Sparviere;4;8;1;0;0;1;1;1;Y;13;
Civetta;4;2;0;1;1;1;1;0;N;5;
Colomba;4;0;0;1;0;0;0;1;Y;15;
