Player;Care;Trust;R1;R2;R3;R4;R5;R6;R7;R8;Win;FinalScore;
Corvo;4;8;1;1;1;0;1;1;1;1;N;0;
Falco;4;1;1;0;1;1;1;0;1;1;Y;9;
Aquila;4;6;0;1;0;1;1;1;0;1;Y;10;
Gheppio;4;2;1;0;0;1;1;1;1;1;Y;13;
Condor;4;7;1;1;0;1;1;1;0;1;Y;10;
Gufo;4;8;1;1;1;0;0;1;1;1;N;6;
Sparviere;4;5;0;1;0;0;1;1;1;1;N;8;
Civetta;4;8;1;1;0;1;1;1;1;1;N;-1;
Colomba;4;0;0;0;0;0;1;0;0;1;Y;19;
