Player;Care;Trust;R1;R2;R3;R4;R5;R6;R7;R8;R9;R10;Win;FinalScore;
Corvo;4;5;1;0;0;1;1;0;1;1;1;1;N;6;
Falco;4;6;0;1;0;1;0;1;0;1;1;1;Y;9;
Aquila;4;2;1;0;0;0;1;1;0;0;1;1;Y;11;
Gheppio;4;3;1;0;1;0;1;1;0;1;1;1;Y;14;
Condor;4;0;0;0;1;0;0;0;1;0;1;1;Y;18;
Gufo;4;2;0;1;1;0;0;1;1;1;1;0;N;0;
Sparviere;4;0;0;0;0;0;1;0;0;0;1;0;Y;21;
Civetta;4;1;1;0;0;0;1;1;0;1;1;1;N;0;
Colomba;4;5;0;1;0;1;0;0;1;0;1;1;Y;10;
