Player;Care;Trust;R1;R2;R3;Win;FinalScore;
Corvo;4;5;0;0;1;Y;11;
Falco;4;4;0;0;1;Y;11;
Aquila;4;4;0;1;1;Y;10;
Gheppio;4;4;1;0;1;N;6;
Condor;4;8;0;1;1;N;6;
Gufo;4;4;1;1;1;N;5;
Sparviere;4;5;0;1;1;Y;10;
Civetta;4;1;1;1;1;N;-1;
Colomba;4;2;0;0;1;Y;11;
