Player;Care;Trust;R1;R2;R3;R4;R5;R6;R7;Win;FinalScore;
Corvo;4;7;0;0;1;0;1;0;1;Y;10;
Falco;4;2;0;1;1;1;0;1;1;N;4;
Aquila;4;0;1;0;1;1;0;1;0;Y;16;
Gheppio;4;5;1;1;0;1;0;1;1;Y;19;
Condor;4;8;1;1;1;1;1;1;1;N;5;
Gufo;4;7;1;1;1;1;0;1;1;N;-1;
Sparviere;4;0;1;1;1;1;1;1;0;N;-1;
Civetta;4;8;0;1;0;0;1;1;1;Y;9;
Colomba;4;3;0;1;1;0;1;1;1;Y;15;
